cognome,nome,classe,disciplina,data_valutazione,voto,tipo
Mezzetta,Marcello,4BIT,Matematica,2024-01-14,4.9,scritto
Peranda,Alina,3BIT,Religione Cattolica,2023-09-18,3.6,pratico
Seddio,Germana,3BIT,Informatica,2023-10-13,5.5,scritto
Staglieno,Pierluigi,5CIT,Scienze Motorie e Sportive,2024-03-18,8.5,orale
Sgarbi,Fortunata,5CIT,Lingua Inglese,2024-04-22,4.3,orale
Seddio,Germana,3BIT,Sistemi e Reti,2023-09-20,5.9,orale
Pavanello,Marta,5CIT,Religione Cattolica,2024-01-27,5.6,pratico
Roero,Alberto,4BIT,Scienze Motorie e Sportive,2024-02-11,4.1,scritto
Monte,Berenice,3BIT,Gestione Progetto e Organizzazione d'Impresa,2023-10-28,5.0,orale
Stefanelli,Amadeo,4BIT,Lingua Inglese,2023-12-08,7.8,scritto
Monte,Berenice,3BIT,Lingua Inglese,2024-01-31,7.3,orale
Saraceno,Corrado,3BIT,Lingua Inglese,2024-03-29,5.1,scritto
Cremonesi,Irma,3BIT,Religione Cattolica,2023-10-13,3.7,pratico
Coardi,Franco,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-09-30,4.6,scritto
Peranda,Alina,3BIT,Religione Cattolica,2024-03-24,5.6,orale
Pavanello,Marta,5CIT,Storia,2024-02-01,7.4,orale
Bonaventura,Cecilia,4BIT,Matematica,2024-04-05,3.3,pratico
Staglieno,Pierluigi,5CIT,Sistemi e Reti,2024-03-13,3.8,pratico
Cipolla,Federica,3BIT,Religione Cattolica,2024-05-23,6.6,pratico
Bajamonti,Tonino,3BIT,Storia,2024-04-08,4.1,pratico
Crespi,Damiano,3BIT,Informatica,2024-05-12,8.8,orale
Cremonesi,Irma,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-11-30,8.5,orale
Natta,Ludovico,5CIT,Scienze Motorie e Sportive,2023-12-07,5.6,pratico
Schiavo,Amedeo,5CIT,Religione Cattolica,2024-02-17,3.5,scritto
Zabarella,Fedele,4BIT,Religione Cattolica,2024-05-29,4.0,orale
Taliani,Maurizio,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-05-10,5.8,scritto
Rensi,Michelangelo,3BIT,Lingua Inglese,2024-05-10,5.7,pratico
Stefanelli,Amadeo,4BIT,Religione Cattolica,2024-04-15,3.6,orale
Pavanello,Marta,5CIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-11-12,6.2,pratico
Casini,Valentina,3BIT,Storia,2024-05-22,6.8,orale
Marrone,Lisa,3BIT,Scienze Motorie e Sportive,2024-01-21,7.6,scritto
Roero,Alberto,4BIT,Sistemi e Reti,2024-02-06,8.5,orale
Sgarbi,Fortunata,5CIT,Scienze Motorie e Sportive,2024-02-04,8.0,pratico
Sgarbi,Fortunata,5CIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-01-06,4.8,pratico
Bongiorno,Simone,3BIT,Scienze Motorie e Sportive,2024-03-11,4.1,orale
Benussi,Giorgio,4BIT,Lingua Inglese,2024-03-09,4.1,orale
Valier,Carmelo,4BIT,Gestione Progetto e Organizzazione d'Impresa,2024-03-04,4.6,pratico
Manolesso,Laura,3BIT,Informatica,2024-03-18,7.0,orale
Manolesso,Laura,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-04-07,3.8,pratico
Maderna,Laureano,5CIT,Sistemi e Reti,2024-03-20,7.6,orale
Peranda,Alina,3BIT,Matematica,2024-04-07,3.7,scritto
Peranda,Alina,3BIT,Religione Cattolica,2024-05-19,6.8,orale
Anichini,Marcella,5CIT,Lingua Inglese,2024-01-08,9.9,scritto
Pezzali,Saverio,5CIT,Storia,2024-02-27,4.2,scritto
Roero,Alberto,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-04-04,5.9,pratico
Boito,Carla,5CIT,Lingua Inglese,2024-02-19,6.1,scritto
Pezzali,Saverio,5CIT,Informatica,2023-11-01,9.5,orale
Florio,Veronica,5CIT,Matematica,2023-12-30,9.7,pratico
Pontecorvo,Mirko,5CIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-11-13,8.5,orale
Cipolla,Federica,3BIT,Informatica,2024-01-13,6.7,pratico
Schiavo,Amedeo,5CIT,Informatica,2023-09-21,7.6,scritto
Monduzzi,Loredana,5CIT,Matematica,2024-05-28,4.1,orale
Manolesso,Laura,3BIT,Lingua e Letteratura Italiana,2024-05-20,3.7,orale
Mezzetta,Marcello,4BIT,Informatica,2024-04-30,3.8,orale
Monduzzi,Loredana,5CIT,Storia,2024-04-05,9.8,orale
Trentini,Matilda,4BIT,Matematica,2024-06-04,3.2,scritto
Casini,Valentina,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-03-19,9.0,pratico
Caffarelli,Luca,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-12-27,6.0,pratico
Forza,Hugo,3BIT,Sistemi e Reti,2024-03-27,9.4,orale
Alighieri,Gabriele,5CIT,Lingua e Letteratura Italiana,2023-12-06,6.5,scritto
Ovadia,Telemaco,5CIT,Lingua e Letteratura Italiana,2024-02-11,6.9,scritto
Matteotti,Patrizia,3BIT,Matematica,2024-02-15,9.3,scritto
Cafarchia,Alessandro,3BIT,Storia,2023-09-20,7.9,orale
Gonzaga,Ettore,5CIT,Religione Cattolica,2024-04-02,6.6,orale
Boito,Carla,5CIT,Storia,2024-04-20,3.1,orale
Simeoni,Mirco,4BIT,Gestione Progetto e Organizzazione d'Impresa,2024-01-16,3.9,scritto
Campise,Liberto,3BIT,Lingua e Letteratura Italiana,2024-06-05,8.2,pratico
Valier,Carmelo,4BIT,Sistemi e Reti,2023-09-15,7.9,orale
Tamburini,Gemma,4BIT,Lingua e Letteratura Italiana,2023-10-26,3.2,scritto
Peranda,Alina,3BIT,Sistemi e Reti,2024-01-21,7.1,pratico
Ovadia,Telemaco,5CIT,Scienze Motorie e Sportive,2024-02-01,6.3,scritto
Rubbia,Domenico,3BIT,Matematica,2023-09-22,10.0,orale
Manolesso,Laura,3BIT,Religione Cattolica,2024-04-13,5.4,scritto
Sgarbi,Fortunata,5CIT,Scienze Motorie e Sportive,2023-10-23,5.4,pratico
